<Serial>,<OnboardMAC1>,<OnboardMAC2>,<IPMIMAC>
6BXCS13,6C:2B:59:B5:01:13,6C:2B:59:B5:01:14,6C:2B:59:B5:01:0D
6HJYQ13,6C:2B:59:B5:16:23,6C:2B:59:B5:16:24,6C:2B:59:B5:16:1D
6JJYQ13,6C:2B:59:B5:16:6B,6C:2B:59:B5:16:6C,6C:2B:59:B5:16:65
6KJYQ13,6C:2B:59:B5:15:F3,6C:2B:59:B5:15:F4,6C:2B:59:B5:15:ED
6V1LJ13,6C:2B:59:B5:18:83,6C:2B:59:B5:18:84,6C:2B:59:B5:18:7D
6W1LJ13,6C:2B:59:B5:18:3B,6C:2B:59:B5:18:3C,6C:2B:59:B5:18:35
6X1LJ13,6C:2B:59:B5:16:B3,6C:2B:59:B5:16:B4,6C:2B:59:B5:16:AD
74XCS13,6C:2B:59:B4:FC:23,6C:2B:59:B4:FC:24,6C:2B:59:B4:FC:1D
75XCS13,6C:2B:59:B4:FD:43,6C:2B:59:B4:FD:44,6C:2B:59:B4:FD:3D
76XCS13,6C:2B:59:B5:18:CB,6C:2B:59:B5:18:CC,6C:2B:59:B5:18:C5
77XCS13,6C:2B:59:B5:02:DB,6C:2B:59:B5:02:DC,6C:2B:59:B5:02:D5
78XCS13,6C:2B:59:B5:01:E3,6C:2B:59:B5:01:E4,6C:2B:59:B5:01:DD
79XCS13,6C:2B:59:B5:05:F3,6C:2B:59:B5:05:F4,6C:2B:59:B5:05:ED
7BXCS13,6C:2B:59:B5:07:AB,6C:2B:59:B5:07:AC,6C:2B:59:B5:07:A5
7HJYQ13,6C:2B:59:B5:14:4B,6C:2B:59:B5:14:4C,6C:2B:59:B5:14:45
7JJYQ13,6C:2B:59:B5:15:1B,6C:2B:59:B5:15:1C,6C:2B:59:B5:15:15
7KJYQ13,6C:2B:59:B5:14:23,6C:2B:59:B5:14:24,6C:2B:59:B5:14:1D
7V1LJ13,6C:2B:59:B5:18:73,6C:2B:59:B5:18:74,6C:2B:59:B5:18:6D
7W1LJ13,6C:2B:59:B5:19:E3,6C:2B:59:B5:19:E4,6C:2B:59:B5:19:DD
7X1LJ13,6C:2B:59:B5:16:A3,6C:2B:59:B5:16:A4,6C:2B:59:B5:16:9D
83XCS13,6C:2B:59:B5:01:EB,6C:2B:59:B5:01:EC,6C:2B:59:B5:01:E5
84XCS13,6C:2B:59:B5:02:33,6C:2B:59:B5:02:34,6C:2B:59:B5:02:2D
85XCS13,6C:2B:59:B4:FF:B3,6C:2B:59:B4:FF:B4,6C:2B:59:B4:FF:AD
86XCS13,6C:2B:59:B5:18:D3,6C:2B:59:B5:18:D4,6C:2B:59:B5:18:CD
87XCS13,6C:2B:59:B5:03:E3,6C:2B:59:B5:03:E4,6C:2B:59:B5:03:DD
88XCS13,6C:2B:59:B4:FC:B3,6C:2B:59:B4:FC:B4,6C:2B:59:B4:FC:AD
89XCS13,6C:2B:59:B5:07:9B,6C:2B:59:B5:07:9C,6C:2B:59:B5:07:95
8BXCS13,6C:2B:59:B5:02:E3,6C:2B:59:B5:02:E4,6C:2B:59:B5:02:DD
8HJYQ13,6C:2B:59:B5:14:E3,6C:2B:59:B5:14:E4,6C:2B:59:B5:14:DD
8JJYQ13,6C:2B:59:B5:18:7B,6C:2B:59:B5:18:7C,6C:2B:59:B5:18:75
8KJYQ13,6C:2B:59:B5:15:0B,6C:2B:59:B5:15:0C,6C:2B:59:B5:15:05
8V1LJ13,6C:2B:59:B5:19:7B,6C:2B:59:B5:19:7C,6C:2B:59:B5:19:75
8W1LJ13,6C:2B:59:B5:18:9B,6C:2B:59:B5:18:9C,6C:2B:59:B5:18:95
8X1LJ13,6C:2B:59:B5:17:73,6C:2B:59:B5:17:74,6C:2B:59:B5:17:6D
93XCS13,6C:2B:59:B5:18:B3,6C:2B:59:B5:18:B4,6C:2B:59:B5:18:AD
94XCS13,6C:2B:59:B4:FE:EB,6C:2B:59:B4:FE:EC,6C:2B:59:B4:FE:E5
95XCS13,6C:2B:59:B5:02:5B,6C:2B:59:B5:02:5C,6C:2B:59:B5:02:55
96XCS13,6C:2B:59:B5:1A:0B,6C:2B:59:B5:1A:0C,6C:2B:59:B5:1A:05
97XCS13,6C:2B:59:B5:05:4B,6C:2B:59:B5:05:4C,6C:2B:59:B5:05:45
98XCS13,6C:2B:59:B4:FB:43,6C:2B:59:B4:FB:44,6C:2B:59:B4:FB:3D
99XCS13,6C:2B:59:B5:02:2B,6C:2B:59:B5:02:2C,6C:2B:59:B5:02:25
9BXCS13,6C:2B:59:B4:FF:A3,6C:2B:59:B4:FF:A4,6C:2B:59:B4:FF:9D
9HJYQ13,6C:2B:59:B5:15:3B,6C:2B:59:B5:15:3C,6C:2B:59:B5:15:35
9JJYQ13,6C:2B:59:B5:14:7B,6C:2B:59:B5:14:7C,6C:2B:59:B5:14:75
9KJYQ13,6C:2B:59:B5:17:93,6C:2B:59:B5:17:94,6C:2B:59:B5:17:8D
9V1LJ13,6C:2B:59:B5:17:1B,6C:2B:59:B5:17:1C,6C:2B:59:B5:17:15
9W1LJ13,6C:2B:59:B5:16:53,6C:2B:59:B5:16:54,6C:2B:59:B5:16:4D
9X1LJ13,6C:2B:59:B5:16:C3,6C:2B:59:B5:16:C4,6C:2B:59:B5:16:BD
B3XCS13,6C:2B:59:B5:19:63,6C:2B:59:B5:19:64,6C:2B:59:B5:19:5D
B4XCS13,6C:2B:59:B5:01:D3,6C:2B:59:B5:01:D4,6C:2B:59:B5:01:CD
B5XCS13,6C:2B:59:B4:FF:13,6C:2B:59:B4:FF:14,6C:2B:59:B4:FF:0D
B6XCS13,6C:2B:59:B4:FF:5B,6C:2B:59:B4:FF:5C,6C:2B:59:B4:FF:55
B7XCS13,6C:2B:59:B5:04:13,6C:2B:59:B5:04:14,6C:2B:59:B5:04:0D
B8XCS13,6C:2B:59:B4:FD:0B,6C:2B:59:B4:FD:0C,6C:2B:59:B4:FD:05
B9XCS13,6C:2B:59:B5:09:AB,6C:2B:59:B5:09:AC,6C:2B:59:B5:09:A5
BBXCS13,6C:2B:59:B5:00:E3,6C:2B:59:B5:00:E4,6C:2B:59:B5:00:DD
BHJYQ13,6C:2B:59:B5:15:8B,6C:2B:59:B5:15:8C,6C:2B:59:B5:15:85
BJJYQ13,6C:2B:59:B5:13:5B,6C:2B:59:B5:13:5C,6C:2B:59:B5:13:55
BKJYQ13,6C:2B:59:B5:15:4B,6C:2B:59:B5:15:4C,6C:2B:59:B5:15:45
BV1LJ13,6C:2B:59:B5:18:33,6C:2B:59:B5:18:34,6C:2B:59:B5:18:2D
BW1LJ13,6C:2B:59:B5:16:1B,6C:2B:59:B5:16:1C,6C:2B:59:B5:16:15
BX1LJ13,6C:2B:59:B5:16:9B,6C:2B:59:B5:16:9C,6C:2B:59:B5:16:95
C3XCS13,6C:2B:59:B5:19:43,6C:2B:59:B5:19:44,6C:2B:59:B5:19:3D
C4XCS13,6C:2B:59:B4:FB:8B,6C:2B:59:B4:FB:8C,6C:2B:59:B4:FB:85
C5XCS13,6C:2B:59:B4:FF:53,6C:2B:59:B4:FF:54,6C:2B:59:B4:FF:4D
C6XCS13,6C:2B:59:B4:FB:FB,6C:2B:59:B4:FB:FC,6C:2B:59:B4:FB:F5
C7XCS13,6C:2B:59:B5:06:AB,6C:2B:59:B5:06:AC,6C:2B:59:B5:06:A5
C8XCS13,6C:2B:59:B5:07:83,6C:2B:59:B5:07:84,6C:2B:59:B5:07:7D
C9XCS13,6C:2B:59:B5:06:7B,6C:2B:59:B5:06:7C,6C:2B:59:B5:06:75
CBXCS13,6C:2B:59:B5:09:43,6C:2B:59:B5:09:44,6C:2B:59:B5:09:3D
CHJYQ13,6C:2B:59:B5:19:FB,6C:2B:59:B5:19:FC,6C:2B:59:B5:19:F5
CJJYQ13,6C:2B:59:B5:13:AB,6C:2B:59:B5:13:AC,6C:2B:59:B5:13:A5
CKJYQ13,6C:2B:59:B5:15:63,6C:2B:59:B5:15:64,6C:2B:59:B5:15:5D
CV1LJ13,6C:2B:59:B5:17:43,6C:2B:59:B5:17:44,6C:2B:59:B5:17:3D
CW1LJ13,6C:2B:59:B5:17:8B,6C:2B:59:B5:17:8C,6C:2B:59:B5:17:85
CX1LJ13,6C:2B:59:B5:16:03,6C:2B:59:B5:16:04,6C:2B:59:B5:15:FD
D3XCS13,6C:2B:59:B5:18:AB,6C:2B:59:B5:18:AC,6C:2B:59:B5:18:A5
D4XCS13,6C:2B:59:B4:FF:73,6C:2B:59:B4:FF:74,6C:2B:59:B4:FF:6D
D5XCS13,6C:2B:59:B5:02:7B,6C:2B:59:B5:02:7C,6C:2B:59:B5:02:75
D6XCS13,6C:2B:59:B5:01:5B,6C:2B:59:B5:01:5C,6C:2B:59:B5:01:55
D7XCS13,6C:2B:59:B5:12:23,6C:2B:59:B5:12:24,6C:2B:59:B5:12:1D
D8XCS13,6C:2B:59:B4:FB:5B,6C:2B:59:B4:FB:5C,6C:2B:59:B4:FB:55
D9XCS13,6C:2B:59:B5:19:A3,6C:2B:59:B5:19:A4,6C:2B:59:B5:19:9D
DBXCS13,6C:2B:59:B4:FF:03,6C:2B:59:B4:FF:04,6C:2B:59:B4:FE:FD
DHJYQ13,6C:2B:59:B5:15:C3,6C:2B:59:B5:15:C4,6C:2B:59:B5:15:BD
DJJYQ13,6C:2B:59:B5:13:9B,6C:2B:59:B5:13:9C,6C:2B:59:B5:13:95
DKJYQ13,6C:2B:59:B5:15:73,6C:2B:59:B5:15:74,6C:2B:59:B5:15:6D
DV1LJ13,6C:2B:59:B5:13:BB,6C:2B:59:B5:13:BC,6C:2B:59:B5:13:B5
DW1LJ13,6C:2B:59:B5:16:7B,6C:2B:59:B5:16:7C,6C:2B:59:B5:16:75
DX1LJ13,6C:2B:59:B5:15:D3,6C:2B:59:B5:15:D4,6C:2B:59:B5:15:CD
F3XCS13,6C:2B:59:B5:18:FB,6C:2B:59:B5:18:FC,6C:2B:59:B5:18:F5
F4XCS13,6C:2B:59:B4:FC:A3,6C:2B:59:B4:FC:A4,6C:2B:59:B4:FC:9D
F5XCS13,6C:2B:59:B4:FC:7B,6C:2B:59:B4:FC:7C,6C:2B:59:B4:FC:75
F6XCS13,6C:2B:59:B5:02:3B,6C:2B:59:B5:02:3C,6C:2B:59:B5:02:35
F7XCS13,6C:2B:59:B5:04:43,6C:2B:59:B5:04:44,6C:2B:59:B5:04:3D
F8XCS13,6C:2B:59:B5:0E:43,6C:2B:59:B5:0E:44,6C:2B:59:B5:0E:3D
F9XCS13,6C:2B:59:B5:19:93,6C:2B:59:B5:19:94,6C:2B:59:B5:19:8D
FBXCS13,6C:2B:59:B5:03:53,6C:2B:59:B5:03:54,6C:2B:59:B5:03:4D
FHJYQ13,6C:2B:59:B5:14:D3,6C:2B:59:B5:14:D4,6C:2B:59:B5:14:CD
FJJYQ13,6C:2B:59:B5:13:1B,6C:2B:59:B5:13:1C,6C:2B:59:B5:13:15
FKJYQ13,6C:2B:59:B5:15:5B,6C:2B:59:B5:15:5C,6C:2B:59:B5:15:55
FV1LJ13,6C:2B:59:B5:12:D3,6C:2B:59:B5:12:D4,6C:2B:59:B5:12:CD
FW1LJ13,6C:2B:59:B5:15:6B,6C:2B:59:B5:15:6C,6C:2B:59:B5:15:65
FX1LJ13,6C:2B:59:B5:15:DB,6C:2B:59:B5:15:DC,6C:2B:59:B5:15:D5
G3XCS13,6C:2B:59:B5:18:2B,6C:2B:59:B5:18:2C,6C:2B:59:B5:18:25
G4XCS13,6C:2B:59:B5:02:53,6C:2B:59:B5:02:54,6C:2B:59:B5:02:4D
G5XCS13,6C:2B:59:B4:FB:E3,6C:2B:59:B4:FB:E4,6C:2B:59:B4:FB:DD
G6XCS13,6C:2B:59:B4:FD:93,6C:2B:59:B4:FD:94,6C:2B:59:B4:FD:8D
G7XCS13,6C:2B:59:B4:FD:03,6C:2B:59:B4:FD:04,6C:2B:59:B4:FC:FD
G8XCS13,6C:2B:59:B4:FB:3B,6C:2B:59:B4:FB:3C,6C:2B:59:B4:FB:35
G9XCS13,6C:2B:59:B5:01:93,6C:2B:59:B5:01:94,6C:2B:59:B5:01:8D
GBXCS13,6C:2B:59:B4:FC:3B,6C:2B:59:B4:FC:3C,6C:2B:59:B4:FC:35
GHJYQ13,6C:2B:59:B5:14:F3,6C:2B:59:B5:14:F4,6C:2B:59:B5:14:ED
GJJYQ13,6C:2B:59:B5:13:2B,6C:2B:59:B5:13:2C,6C:2B:59:B5:13:25
GKJYQ13,6C:2B:59:B5:19:EB,6C:2B:59:B5:19:EC,6C:2B:59:B5:19:E5
GV1LJ13,6C:2B:59:B5:13:7B,6C:2B:59:B5:13:7C,6C:2B:59:B5:13:75
GW1LJ13,6C:2B:59:B5:16:4B,6C:2B:59:B5:16:4C,6C:2B:59:B5:16:45
GX1LJ13,6C:2B:59:B5:19:5B,6C:2B:59:B5:19:5C,6C:2B:59:B5:19:55
H3XCS13,6C:2B:59:B5:19:33,6C:2B:59:B5:19:34,6C:2B:59:B5:19:2D
H4XCS13,6C:2B:59:B5:03:0B,6C:2B:59:B5:03:0C,6C:2B:59:B5:03:05
H5XCS13,6C:2B:59:B4:FE:FB,6C:2B:59:B4:FE:FC,6C:2B:59:B4:FE:F5
H6XCS13,6C:2B:59:B5:0B:EB,6C:2B:59:B5:0B:EC,6C:2B:59:B5:0B:E5
H7XCS13,6C:2B:59:B5:00:A3,6C:2B:59:B5:00:A4,6C:2B:59:B5:00:9D
H8XCS13,6C:2B:59:B4:FC:CB,6C:2B:59:B4:FC:CC,6C:2B:59:B4:FC:C5
H9XCS13,6C:2B:59:B5:01:F3,6C:2B:59:B5:01:F4,6C:2B:59:B5:01:ED
HBXCS13,6C:2B:59:B5:03:33,6C:2B:59:B5:03:34,6C:2B:59:B5:03:2D
HHJYQ13,6C:2B:59:B5:14:33,6C:2B:59:B5:14:34,6C:2B:59:B5:14:2D
HJJYQ13,6C:2B:59:B5:12:EB,6C:2B:59:B5:12:EC,6C:2B:59:B5:12:E5
HKJYQ13,6C:2B:59:B5:14:DB,6C:2B:59:B5:14:DC,6C:2B:59:B5:14:D5
HV1LJ13,6C:2B:59:B5:12:A3,6C:2B:59:B5:12:A4,6C:2B:59:B5:12:9D
HW1LJ13,6C:2B:59:B5:17:33,6C:2B:59:B5:17:34,6C:2B:59:B5:17:2D
HX1LJ13,6C:2B:59:B5:17:3B,6C:2B:59:B5:17:3C,6C:2B:59:B5:17:35
J3XCS13,6C:2B:59:B5:18:E3,6C:2B:59:B5:18:E4,6C:2B:59:B5:18:DD
J4XCS13,6C:2B:59:B5:01:33,6C:2B:59:B5:01:34,6C:2B:59:B5:01:2D
J5XCS13,6C:2B:59:B5:19:9B,6C:2B:59:B5:19:9C,6C:2B:59:B5:19:95
J6XCS13,6C:2B:59:B5:05:A3,6C:2B:59:B5:05:A4,6C:2B:59:B5:05:9D
J7XCS13,6C:2B:59:B5:11:EB,6C:2B:59:B5:11:EC,6C:2B:59:B5:11:E5
J8XCS13,6C:2B:59:B4:FC:DB,6C:2B:59:B4:FC:DC,6C:2B:59:B4:FC:D5
J9XCS13,6C:2B:59:B4:FC:AB,6C:2B:59:B4:FC:AC,6C:2B:59:B4:FC:A5
JHJYQ13,6C:2B:59:B5:15:53,6C:2B:59:B5:15:54,6C:2B:59:B5:15:4D
JJJYQ13,6C:2B:59:B5:13:13,6C:2B:59:B5:13:14,6C:2B:59:B5:13:0D
JKJYQ13,6C:2B:59:B5:19:03,6C:2B:59:B5:19:04,6C:2B:59:B5:18:FD
JV1LJ13,6C:2B:59:B5:13:03,6C:2B:59:B5:13:04,6C:2B:59:B5:12:FD
JW1LJ13,6C:2B:59:B5:19:D3,6C:2B:59:B5:19:D4,6C:2B:59:B5:19:CD
JX1LJ13,6C:2B:59:B5:15:23,6C:2B:59:B5:15:24,6C:2B:59:B5:15:1D

# R440 for the Database (order DAI 8122113)
# Dual Xeon Gold 5222 and 384 GB RAM
2SB9S23,00:02:c9:3b:71:00,,4C:D9:8F:A0:0C:01
# First onboard NIC: 4C:D9:8F:A0:0C:07
# IPMI : 4C:D9:8F:A0:0C:01
# NIC Slot 2 (PCI 3b:00.0) Port 1: 00:02:c9:3b:67:a0  
# NIC Slot 2 (PCI 3b:00.0) Port 2: 00:02:c9:3b:67:a1
# NIC Slot 3 (PCI af:00.0) Port 1: 00:02:c9:3b:71:00
# NIC Slot 3 (PCI af:00.0) Port 2: 00:02:c9:3b:71:01
#
5SB9S23,00:02:c9:3b:90:d0,,4C:D9:8F:A0:1C:B4
# First onboard NIC: 4C:D9:8F:A0:1C:BA
# IPMI: 4C:D9:8F:A0:1C:B4
# NIC Slot 2 (PCI 3b:00.0) Port 1: 00:02:c9:3b:90:e0 
# NIC Slot 2 (PCI 3b:00.0) Port 2: 00:02:c9:3b:90:e1
# NIC Slot 3 (PCI af:00.0) Port 1: 00:02:c9:3b:90:d0
# NIC Slot 3 (PCI af:00.0) Port 2: 00:02:c9:3b:90:d1
#
3SB9S23,00:02:c9:3b:67:10,,4C:D9:8F:A0:15:07
# First onboard NIC: 4C:D9:8F:A0:15:0D
# IPMI: 4C:D9:8F:A0:15:07
# NIC Slot 2 (PCI 3b:00.0) Port 1: 00:02:c9:3b:66:d0
# NIC Slot 2 (PCI 3b:00.0) Port 2: 00:02:c9:3b:66:d1
# NIC Slot 3 (PCI af:00.0) Port 1: 00:02:c9:3b:67:10
# NIC Slot 3 (PCI af:00.0) Port 2: 00:02:c9:3b:67:11
#
4SB9S23,00:02:c9:3b:8f:e0,,4C:D9:8F:A0:16:45
# First onboard NIC: 4C:D9:8F:A0:16:4B
# IPMI: 4C:D9:8F:A0:16:45
# NIC Slot 2 (PCI 3b:00.0) Port 1: 00:02:c9:3b:67:00
# NIC Slot 2 (PCI 3b:00.0) Port 2: 00:02:c9:3b:67:01
# NIC Slot 3 (PCI af:00.0) Port 1: 00:02:c9:3b:8f:e0
# NIC Slot 3 (PCI af:00.0) Port 2: 00:02:c9:3b:8f:e1
#


